player,team,position,age,market_value,contract_end,matches,minutes,goals,xg,nationality,country,foot,height,weight,on_loan,def_actions_p90,def_duels_p90,def_duels_won_pct,aerial_duels_p90,aerial_duels_won_pct,tackles_p90,tackles_adj_p90,blocked_shots_p90,interceptions_p90,interceptions_adj_p90,fouls_p90,yellow_cards,yellow_cards_p90,red_cards,red_cards_p90,att_actions_p90,goals_p90,np_goals,np_goals_p90,xg_p90,header_goals,header_goals_p90,shots,shots_p90,shots_on_target_pct,conversion_pct,assists,assists_p90,xa,xa_p90,crosses_p90,crosses_accurate_pct,dribbles_p90,dribbles_success_pct,off_duels_p90,off_duels_won_pct,box_touches_p90,progressive_runs_p90,passes_p90,passes_accurate_pct,fwd_passes_p90,fwd_passes_accurate_pct,back_passes_p90,back_passes_accurate_pct,lat_passes_p90,lat_passes_accurate_pct,long_passes_p90,long_passes_accurate_pct,avg_pass_length,avg_long_pass_length,second_assists_p90,third_assists_p90,smart_passes_p90,smart_passes_accurate_pct,key_passes_p90,final_third_passes_p90,final_third_passes_accurate_pct,penalty_area_passes_p90,penalty_area_passes_accurate_pct,through_passes_p90,through_passes_accurate_pct,through_passes_received_p90,deep_crosses_received_p90,progressive_passes_p90,progressive_passes_accurate_pct,free_kicks_p90,direct_free_kicks_p90,direct_fk_on_target_pct,corners_p90,penalties_p90,penalties_conversion_pct,position_group
Diogo Costa,Porto,GK,26,45000000,2030-06-30,25,2444,0,0.0,Portugal,"Portugal, Switzerland",direito,188,84,sim,1.36,0.0,0.0,0.33,88.89,0.0,0.0,0.0,1.36,2.07,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,0.0,0.0,23.97,88.63,11.71,78.62,0.0,0.0,9.83,99.25,7.33,67.34,27.06,47.7,0.0,0.0,0.0,0.0,0.0,2.73,58.11,0.22,0.0,0.18,20.0,0.07,0.0,4.9,75.94,,,,0.0,0,0.0,Goalkeeper
A. Varela,Porto,DMF,24,35000000,2030-06-30,22,1860,2,2.59,Argentina,Argentina,direito,177,73,sim,5.95,3.95,63.64,2.0,38.46,0.41,0.62,0.56,3.03,4.59,0.92,6,0.29,0,0.0,0.87,0.1,1,0.05,0.13,0,0.0,16,0.82,37.5,12.5,0,0.0,1.33,0.07,0.62,25.0,0.62,58.33,2.67,50.0,0.21,1.18,43.2,86.1,14.42,72.95,6.98,94.12,15.29,92.95,3.69,56.94,17.2,27.58,0.0,0.05,0.15,33.33,0.15,7.39,76.39,1.8,42.86,0.51,40.0,0.77,0.15,6.62,78.29,0.21,0.05,0.0,0.31,1,100.0,Midfielder
Pepê,Porto,"RWF, RW, LWF",29,30000000,2028-06-30,22,1764,2,2.76,Brazil,"Brazil, Italy",direito,175,72,sim,4.63,4.36,53.01,2.0,44.74,0.05,0.08,0.0,2.26,3.6,0.79,2,0.1,0,0.0,3.68,0.1,2,0.11,0.14,0,0.0,20,1.05,30.0,10.0,1,0.05,3.29,0.17,3.36,39.06,4.0,50.0,9.73,42.16,2.26,2.1,30.28,71.88,9.25,61.36,6.68,94.49,8.36,71.7,1.95,51.35,17.53,28.09,0.05,0.0,0.26,20.0,0.58,3.36,68.75,4.78,60.44,0.79,33.33,2.21,1.31,6.36,80.99,0.05,0.0,0.0,0.89,0,0.0,Forward
T. Moffi,Porto,"CF, RCMF",26,25000000,2027-06-30,4,98,1,0.56,Nigeria,Nigeria,esquerdo,188,89,sim,1.18,2.37,50.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0,0.0,0,0.0,1.18,0.92,1,1.18,0.67,0,0.0,1,1.18,100.0,100.0,0,0.0,0.32,0.38,0.0,0.0,0.0,0.0,8.29,14.29,2.37,1.18,8.29,57.14,3.55,66.67,1.18,0.0,2.37,50.0,0.0,0.0,8.72,0.0,0.0,0.0,0.0,0.0,1.18,2.37,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Forward
S. Fofana,Porto,"LCMF, DMF",30,16000000,2029-06-30,5,164,1,0.81,France,"France, Côte d'Ivoire",direito,185,74,sim,4.94,4.39,62.5,1.1,50.0,0.55,0.94,0.55,1.65,2.81,0.55,0,0.0,0,0.0,1.1,0.55,1,0.55,0.45,0,0.0,4,2.2,25.0,25.0,0,0.0,0.0,0.0,0.55,0.0,1.1,50.0,3.84,42.86,2.74,1.1,25.24,86.96,5.49,70.0,9.88,94.44,6.59,91.67,2.2,25.0,17.21,9.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0,0.0,Midfielder
N. Pérez,Porto,RCB,25,13000000,2029-06-30,5,399,1,0.76,Argentina,Argentina,direito,186,76,sim,8.8,4.96,77.27,3.38,53.33,0.45,0.68,0.9,4.51,6.82,0.68,0,0.0,0,0.0,0.23,0.23,1,0.23,0.17,0,0.0,2,0.45,50.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.9,1.35,68.8,94.43,18.27,85.19,5.64,96.0,35.19,98.72,5.19,56.52,17.57,29.34,0.0,0.0,0.0,0.0,0.0,6.09,74.07,0.68,0.0,0.68,0.0,0.0,0.0,5.19,86.96,0.0,0.0,0.0,0.0,0,0.0,Defender
J. Bednarek,Porto,"RCB, LCB",29,11000000,2029-06-30,24,2181,1,0.46,Poland,Poland,direito,189,77,sim,7.22,3.8,69.57,6.11,72.97,0.17,0.26,0.91,4.42,6.84,1.32,7,0.29,0,0.0,0.17,0.04,1,0.04,0.02,1,0.04,5,0.21,40.0,20.0,1,0.04,0.03,0.0,0.04,100.0,0.0,0.0,0.83,30.0,0.25,1.53,71.02,94.42,21.38,85.91,4.99,98.35,34.83,98.7,3.05,55.41,18.72,37.69,0.0,0.0,0.04,100.0,0.04,6.6,76.88,0.33,37.5,0.33,25.0,0.17,0.04,7.1,79.65,0.0,0.0,0.0,0.0,0,0.0,Defender
P. Rosario,Porto,"DMF, RCB, RB",29,8000000,2029-06-30,17,1205,2,1.2,Netherlands,"Netherlands, Dominican Republic",direito,188,73,sim,7.77,4.93,57.58,2.99,67.5,0.75,1.18,0.37,4.18,6.61,1.42,5,0.37,0,0.0,0.67,0.15,2,0.15,0.09,1,0.07,10,0.75,30.0,20.0,0,0.0,0.25,0.02,0.45,16.67,0.67,44.44,4.11,43.64,1.05,1.49,47.8,85.63,17.78,74.79,5.68,94.74,16.8,94.67,3.21,58.14,18.26,30.63,0.07,0.0,0.3,25.0,0.07,7.92,71.7,2.02,40.74,0.37,40.0,1.12,0.07,9.04,78.51,0.0,0.0,0.0,0.0,0,0.0,Midfielder
Francisco Moura,Porto,LB,26,6000000,2029-06-30,18,1225,2,1.23,Portugal,Portugal,esquerdo,181,66,sim,8.13,6.69,56.82,1.82,58.33,0.0,0.0,0.08,4.33,7.18,1.44,5,0.37,0,0.0,1.9,0.15,2,0.15,0.09,0,0.0,9,0.68,33.33,22.222,2,0.15,1.36,0.1,2.51,36.36,0.91,75.0,2.96,51.28,2.05,2.05,43.18,85.04,14.37,75.13,10.57,97.84,10.49,86.23,2.2,55.17,16.34,22.45,0.0,0.0,0.15,50.0,0.38,4.18,74.55,2.2,51.72,0.38,60.0,0.99,0.84,6.69,62.5,0.23,0.0,0.0,0.23,0,0.0,Defender
L. de Jong,Porto,CF,35,3500000,2026-06-30,5,283,1,1.12,Netherlands,Netherlands,direito,189,86,sim,5.09,3.5,54.55,6.68,42.86,0.0,0.0,0.32,3.18,4.92,0.95,1,0.32,0,0.0,0.64,0.32,1,0.32,0.36,0,0.0,5,1.59,40.0,20.0,0,0.0,0.18,0.06,0.0,0.0,0.32,0.0,3.18,30.0,4.13,0.0,18.13,75.44,4.13,61.54,6.68,90.48,3.5,54.55,0.0,0.0,13.68,0.0,0.0,0.0,0.0,0.0,0.32,1.27,75.0,0.32,0.0,0.0,0.0,0.95,0.0,0.95,66.67,0.0,0.0,0.0,0.0,0,0.0,Forward
Z. Sanusi,Porto,LB,28,3000000,2027-06-30,11,702,1,0.72,Nigeria,Nigeria,esquerdo,182,76,sim,5.0,2.82,68.18,2.18,58.82,0.26,0.4,0.26,2.82,4.4,0.38,0,0.0,0,0.0,1.79,0.13,1,0.13,0.09,0,0.0,4,0.51,25.0,25.0,0,0.0,0.71,0.09,2.44,42.11,1.67,38.46,2.95,47.83,1.28,2.44,36.15,86.17,12.95,81.19,6.92,100.0,9.87,87.01,1.41,54.55,16.4,19.27,0.0,0.0,0.13,0.0,0.26,3.59,85.71,1.79,50.0,0.38,33.33,0.51,0.9,5.38,78.57,0.0,0.0,0.0,0.38,0,0.0,Defender
Y. Karamoh,Porto,LWF,27,2500000,2026-06-30,1,18,0,0.0,Côte d'Ivoire,"Côte d'Ivoire, France",direito,185,77,sim,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,28.15,80.68,,,,,,,,,,,,,,,,,,,,0,0.0,Forward
Cláudio Ramos,Porto,GK,34,1500000,2027-06-30,1,49,0,0.0,Portugal,Portugal,direito,183,83,sim,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,4.29,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,90.91,11.02,100.0,0.0,0.0,7.35,75.0,5.51,66.67,22.19,36.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,50.0,,,,0.0,0,0.0,Goalkeeper
Thiago Silva,Porto,RCB,41,1000000,2026-06-30,5,412,0,0.33,Brazil,"Brazil, France",direito,181,79,sim,4.15,3.06,64.29,5.46,72.0,0.0,0.0,0.0,2.18,3.8,0.44,0,0.0,0,0.0,0.44,0.0,0,0.0,0.07,0,0.0,2,0.44,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,33.33,0.87,1.97,71.21,92.64,23.59,85.19,1.97,100.0,32.33,95.95,4.59,47.62,17.58,33.4,0.0,0.0,0.0,0.0,0.0,9.61,81.82,1.53,28.57,1.09,0.0,0.44,0.0,10.49,79.17,0.0,0.0,0.0,0.0,0,0.0,Defender
Samu Omorodion,Porto,CF,21,0,2029-06-30,20,1499,13,12.32,Spain,"Spain, Nigeria",direito,193,80,sim,2.22,2.34,48.72,2.64,43.18,0.0,0.0,0.0,1.08,1.75,1.14,3,0.18,0,0.0,3.36,0.78,8,0.48,0.74,2,0.12,51,3.06,64.71,25.49,0,0.0,0.5,0.03,0.54,11.11,2.4,55.0,10.87,33.15,3.9,0.72,14.59,74.49,2.34,64.1,4.2,84.29,4.5,72.0,0.48,87.5,15.97,12.96,0.0,0.06,0.12,0.0,0.12,1.44,58.33,0.78,53.85,0.06,0.0,0.66,0.06,1.56,65.38,0.0,0.0,0.0,0.12,6,83.333,Forward
