player,team,position,age,market_value,contract_end,matches,minutes,goals,xg,nationality,country,foot,height,weight,on_loan,def_actions_p90,def_duels_p90,def_duels_won_pct,aerial_duels_p90,aerial_duels_won_pct,tackles_p90,tackles_adj_p90,blocked_shots_p90,interceptions_p90,interceptions_adj_p90,fouls_p90,yellow_cards,yellow_cards_p90,red_cards,red_cards_p90,att_actions_p90,goals_p90,np_goals,np_goals_p90,xg_p90,header_goals,header_goals_p90,shots,shots_p90,shots_on_target_pct,conversion_pct,assists,assists_p90,xa,xa_p90,crosses_p90,crosses_accurate_pct,dribbles_p90,dribbles_success_pct,off_duels_p90,off_duels_won_pct,box_touches_p90,progressive_runs_p90,passes_p90,passes_accurate_pct,fwd_passes_p90,fwd_passes_accurate_pct,back_passes_p90,back_passes_accurate_pct,lat_passes_p90,lat_passes_accurate_pct,long_passes_p90,long_passes_accurate_pct,avg_pass_length,avg_long_pass_length,second_assists_p90,third_assists_p90,smart_passes_p90,smart_passes_accurate_pct,key_passes_p90,final_third_passes_p90,final_third_passes_accurate_pct,penalty_area_passes_p90,penalty_area_passes_accurate_pct,through_passes_p90,through_passes_accurate_pct,through_passes_received_p90,deep_crosses_received_p90,progressive_passes_p90,progressive_passes_accurate_pct,position_group
A. Saint-Maximin,Lens,"LW, LAMF, AMF",28.0,18000000,2026-06-30,16,907,3,1.53,France,"France, Guadeloupe",direito,173,67,sim,1.98,2.18,63.64,0.2,0.0,0.3,0.43,0.0,0.3,0.43,0.99,3.0,0.3,0.0,0.0,7.44,0.3,3.0,0.3,0.15,0.0,0.0,28.0,2.78,35.71,10.714,2.0,0.2,1.21,0.12,4.07,39.02,8.83,53.93,18.06,46.7,2.68,4.47,36.52,77.17,9.92,78.0,6.65,91.04,13.4,76.3,2.18,40.91,20.29,31.37,0.0,0.1,0.2,50.0,1.19,4.66,76.6,5.76,58.62,0.99,20.0,2.18,1.59,7.14,84.72,Forward
Sergio Canales,Monterrey,"AMF, CF, RAMF",35.0,10000000,2026-06-30,28,2586,13,6.98,Spain,Spain,esquerdo,178,72,sim,2.33,1.74,62.0,1.22,14.29,0.17,0.25,0.0,1.08,1.57,0.42,2.0,0.07,0.0,0.0,3.13,0.45,11.0,0.38,0.24,1.0,0.03,76.0,2.65,36.84,17.105,5.0,0.17,5.12,0.18,2.09,43.33,1.98,59.65,10.06,40.83,1.95,2.96,45.21,84.45,10.79,66.13,12.01,95.36,14.58,88.78,3.27,63.83,18.32,37.16,0.03,0.07,0.42,16.67,0.56,6.79,70.77,3.9,53.57,0.9,30.77,1.25,0.84,5.67,82.82,Forward
J. Brunetta,Tigres UANL,"AMF, RCMF, RDMF",28.0,10000000,2027-12-31,33,2718,14,8.55,Argentina,"Argentina, Italy",direito,178,68,sim,4.04,3.54,50.47,0.79,37.5,0.3,0.42,0.13,1.95,2.76,1.13,7.0,0.23,0.0,0.0,3.25,0.46,11.0,0.36,0.28,1.0,0.03,85.0,2.81,35.29,16.471,4.0,0.13,4.93,0.16,0.93,46.43,2.68,61.73,8.21,46.77,1.72,2.05,42.48,86.83,10.07,74.34,7.72,96.14,18.25,88.57,4.4,69.17,19.62,39.87,0.07,0.03,0.23,71.43,0.63,6.92,80.38,2.62,54.43,0.89,44.44,1.39,0.43,5.79,84.0,Midfielder
Álvaro Fidalgo,Real Betis,"LCMF, AMF, DMF",28.0,8000000,2030-06-30,21,1660,1,0.78,Spain,Spain,direito,172,67,sim,5.2,3.96,76.71,0.98,38.89,0.0,0.0,0.05,2.17,3.19,0.22,1.0,0.05,0.0,0.0,1.79,0.05,1.0,0.05,0.04,0.0,0.0,14.0,0.76,28.57,7.143,0.0,0.0,0.95,0.05,0.98,33.33,1.57,65.52,5.48,50.5,0.76,2.71,68.58,90.12,20.17,84.14,11.33,95.22,26.13,93.36,5.26,61.86,17.84,36.05,0.11,0.05,0.38,57.14,0.22,13.23,85.66,2.77,50.98,1.14,47.62,1.14,0.38,9.7,82.12,Midfielder
C. Rodríguez,Cruz Azul,"LCMF, AMF",29.0,7000000,2029-12-31,31,2502,6,2.59,Mexico,Mexico,direito,171,65,sim,4.31,3.62,58.59,1.13,38.71,0.07,0.12,0.04,2.12,3.43,0.66,4.0,0.14,0.0,0.0,3.18,0.22,6.0,0.22,0.09,1.0,0.04,30.0,1.1,50.0,20.0,3.0,0.11,4.55,0.17,2.67,49.32,1.72,59.57,4.49,44.72,1.75,4.42,51.36,83.29,17.64,72.05,8.55,96.15,16.88,86.8,5.33,56.16,18.43,36.73,0.22,0.04,0.55,53.33,0.88,7.96,67.89,6.28,56.98,2.08,40.35,2.34,1.24,9.9,85.98,Midfielder
Helinho,Toluca,"RW, RAMF, CF",25.0,7000000,2028-12-31,18,1091,9,5.8,Brazil,Brazil,esquerdo,175,66,sim,3.96,3.3,62.5,0.66,0.0,0.08,0.13,0.0,1.81,2.96,0.99,4.0,0.33,0.0,0.0,8.99,0.74,5.0,0.41,0.48,0.0,0.0,50.0,4.12,32.0,18.0,5.0,0.41,4.81,0.4,4.45,44.44,8.58,59.62,17.32,43.33,2.64,4.45,37.62,81.58,7.26,76.14,9.49,93.04,12.21,80.41,2.89,42.86,18.53,31.1,0.16,0.16,0.74,77.78,1.57,4.95,78.33,4.78,56.9,1.32,50.0,1.57,1.73,6.35,92.21,Forward
S. Cáceres,América,"RCB, LCB",26.0,7000000,2027-06-30,23,2152,0,0.61,Uruguay,Uruguay,direito,180,77,sim,7.32,6.32,71.52,3.3,53.16,0.17,0.23,0.33,2.63,3.59,1.05,6.0,0.25,0.0,0.0,0.29,0.0,0.0,0.0,0.03,0.0,0.0,3.0,0.13,33.33,0.0,0.0,0.0,0.3,0.01,0.04,0.0,0.38,66.67,2.13,62.75,0.59,1.09,47.22,87.95,19.66,79.79,2.72,93.85,20.2,94.41,5.56,47.37,20.38,38.05,0.04,0.0,0.0,0.0,0.0,5.19,70.16,0.54,15.38,0.25,33.33,0.13,0.0,7.7,66.85,Defender
V. Guzmán,Monterrey,RCB,24.0,7000000,2028-06-30,22,1677,1,0.35,Mexico,Mexico,direito,182,83,sim,7.73,4.51,66.67,2.63,59.18,0.11,0.16,0.59,4.62,7.01,0.7,1.0,0.05,1.0,0.05,0.32,0.05,1.0,0.05,0.02,1.0,0.05,6.0,0.32,33.33,16.667,0.0,0.0,0.18,0.01,0.27,20.0,0.43,37.5,1.4,42.31,0.43,1.5,45.67,89.19,18.3,83.28,3.49,95.38,19.75,95.11,4.99,54.84,21.41,39.63,0.0,0.0,0.0,0.0,0.0,6.6,73.17,0.43,12.5,0.38,14.29,0.11,0.11,8.32,70.97,Defender
U. Antuna,Pumas UNAM,"RW, RAMF, LW",28.0,6500000,2028-06-30,21,631,0,1.24,Mexico,Mexico,direito,174,64,sim,4.85,3.85,48.15,2.0,35.71,0.57,0.81,0.14,2.42,3.45,1.14,1.0,0.14,0.0,0.0,4.28,0.0,0.0,0.0,0.18,0.0,0.0,9.0,1.28,55.56,0.0,1.0,0.14,2.14,0.31,4.85,44.12,3.0,47.62,5.13,44.44,3.42,1.85,26.39,75.14,4.85,70.59,5.71,90.0,9.98,70.0,1.14,62.5,22.6,11.15,0.0,0.0,0.0,0.0,1.43,2.0,64.29,3.57,52.0,0.14,100.0,1.0,2.0,3.42,79.17,Forward
É. Gutiérrez,Guadalajara,"LCMF, LDMF",30.0,6000000,2027-06-30,13,825,0,0.25,Mexico,Mexico,esquerdo,181,79,sim,5.67,7.2,60.61,2.62,50.0,0.22,0.35,0.0,1.09,1.74,1.53,5.0,0.55,0.0,0.0,0.76,0.0,0.0,0.0,0.03,0.0,0.0,9.0,0.98,11.11,0.0,2.0,0.22,1.12,0.12,1.09,40.0,0.44,50.0,3.38,41.94,0.22,0.33,43.85,88.81,14.62,76.12,7.2,96.97,14.95,94.16,3.16,55.17,17.05,28.91,0.0,0.11,0.0,0.0,0.22,6.65,75.41,2.18,45.0,0.22,50.0,0.76,0.33,6.44,76.27,Midfielder
