date,match,competition,duration,team,scheme,goals,xg,shots_total,shots_on_target,shots_on_target_pct,passes_total,passes_accurate,passes_accurate_pct,possession_pct,losses_total,losses_low,losses_mid,losses_high,recoveries_total,recoveries_low,recoveries_mid,recoveries_high,duels_total,duels_won,duels_won_pct,competition_clean,home_team,away_team,score,goals_home_x,goals_away_x,is_home,goals_for,goals_against,result,opponent_context,game_intensity,passes_per_possession,long_pass_pct,ppda,avg_shot_distance,avg_pass_length,goals_home_y,goals_away_y,forward_passes,forward_passes_accurate,forward_passes_accurate_pct,back_passes,back_passes_accurate,back_passes_accurate_pct,lateral_passes,lateral_passes_accurate,lateral_passes_accurate_pct,long_passes,long_passes_accurate,long_passes_accurate_pct,final_third_passes,final_third_passes_accurate,final_third_passes_accurate_pct,progressive_passes,progressive_passes_accurate,progressive_passes_accurate_pct,smart_passes,smart_passes_accurate,smart_passes_accurate_pct,throw_ins,throw_ins_accurate,throw_ins_accurate_pct,goal_kicks,goals_conceded,shots_against,shots_against_on_target,shots_against_on_target_pct,def_duels,def_duels_won,def_duels_won_pct,aerial_duels,aerial_duels_won,aerial_duels_won_pct,tackles,tackles_successful,tackles_successful_pct,interceptions,clearances,fouls,yellow_cards,red_cards,positional_attacks,positional_attacks_with_shots,positional_attacks_with_shots_pct,counter_attacks,counter_attacks_with_shots,counter_attacks_with_shots_pct,corners,corners_with_shots,corners_with_shots_pct,free_kicks,free_kicks_with_shots,free_kicks_with_shots_pct,penalties,penalties_converted,penalties_converted_pct,crosses,crosses_accurate,crosses_accurate_pct,off_duels,off_duels_won,off_duels_won_pct,offsides,club
2026-03-07,Sporting Braga - Sporting CP 2:2,Portugal. Primeira Liga,102,Sporting CP,4-2-3-1,2,1.31,12,4.0,33.33,329,276.0,83.89,35.68,78,21.0,24.0,33.0,61,33.0,20.0,8.0,160,78.0,48.75,Liga Portugal,Sporting Braga,Sporting CP,2:2,2.0,2.0,False,2.0,2.0,Draw,balanced,17.03,4.22,11.85,23.06,23.78,18.72,2.0,2.0,118,86.0,72.88,51,50.0,98.04,109,98.0,89.91,39,22.0,56.41,43,32.0,74.42,60,37.0,61.67,0,0.0,0.0,14,14.0,100.0,5,2,8,3.0,37.5,60,37.0,61.67,18,8.0,44.44,1,1.0,100.0,36,10,13,3,0,14,6.0,42.86,3,1.0,33.33,5,4.0,80.0,3,0.0,0.0,1,1.0,100.0,6,1.0,16.67,51,22.0,43.14,0,Sporting
2026-02-27,Sporting CP - Estoril 3:0,Portugal. Primeira Liga,96,Sporting CP,4-4-2,3,2.61,14,8.0,57.14,511,453.0,88.65,54.1,95,13.0,37.0,45.0,83,45.0,21.0,17.0,195,101.0,51.79,Liga Portugal,Sporting CP,Estoril,3:0,3.0,0.0,True,3.0,0.0,Win,balanced,16.82,5.44,8.22,12.44,14.6,17.79,3.0,0.0,169,139.0,82.25,95,92.0,96.84,165,150.0,90.91,42,28.0,66.67,55,45.0,81.82,75,61.0,81.33,4,2.0,50.0,14,14.0,100.0,6,0,7,3.0,42.86,65,46.0,70.77,22,14.0,63.64,0,0.0,0.0,32,16,9,2,0,27,9.0,33.33,0,0.0,0.0,4,2.0,50.0,1,0.0,0.0,0,0.0,0.0,13,4.0,30.77,82,30.0,36.59,1,Sporting
2026-02-21,Moreirense - Sporting CP 0:3,Portugal. Primeira Liga,96,Sporting CP,4-4-2,3,2.08,15,8.0,53.33,595,526.0,88.4,64.92,87,10.0,25.0,52.0,70,27.0,29.0,14.0,198,84.0,42.42,Liga Portugal,Moreirense,Sporting CP,0:3,0.0,3.0,False,3.0,0.0,Win,balanced,16.41,6.33,7.9,8.74,17.0,18.91,0.0,3.0,180,144.0,80.0,87,84.0,96.55,238,220.0,92.44,47,27.0,57.45,81,62.0,76.54,97,81.0,83.51,0,0.0,0.0,25,24.0,96.0,6,0,6,2.0,33.33,68,41.0,60.29,29,11.0,37.93,0,0.0,0.0,19,1,14,1,0,34,9.0,26.47,1,0.0,0.0,8,2.0,25.0,0,0.0,0.0,0,0.0,0.0,17,7.0,41.18,84,25.0,29.76,0,Sporting
2026-02-15,Sporting CP - Famalicão 1:0,Portugal. Primeira Liga,103,Sporting CP,4-4-2,1,2.5,20,5.0,25.0,597,520.0,87.1,68.21,107,13.0,34.0,60.0,84,25.0,47.0,12.0,202,101.0,50.0,Liga Portugal,Sporting CP,Famalicão,1:0,1.0,0.0,True,1.0,0.0,Win,balanced,17.12,5.06,5.7,4.53,15.55,19.23,1.0,0.0,169,137.0,81.07,95,91.0,95.79,218,199.0,91.28,34,22.0,64.71,74,61.0,82.43,99,83.0,83.84,0,0.0,0.0,27,24.0,88.89,1,0,2,1.0,50.0,63,41.0,65.08,34,14.0,41.18,2,1.0,50.0,25,8,17,3,0,50,10.0,20.0,0,0.0,0.0,14,4.0,28.57,3,1.0,33.33,0,0.0,0.0,22,8.0,36.36,69,29.0,42.03,3,Sporting
2026-02-09,Porto - Sporting CP 1:1,Portugal. Primeira Liga,107,Sporting CP,4-2-3-1,1,2.09,11,2.0,18.18,451,396.0,87.8,57.04,98,23.0,42.0,33.0,82,36.0,35.0,11.0,165,79.0,47.88,Liga Portugal,Porto,Sporting CP,1:1,1.0,1.0,False,1.0,1.0,Draw,balanced,15.31,5.01,9.09,9.43,17.71,17.95,1.0,1.0,157,119.0,75.8,89,88.0,98.88,146,141.0,96.58,41,24.0,58.54,55,48.0,87.27,64,48.0,75.0,0,0.0,0.0,16,15.0,93.75,7,1,9,1.0,11.11,50,35.0,70.0,22,8.0,36.36,1,0.0,0.0,42,12,13,5,0,24,9.0,37.5,0,0.0,0.0,8,1.0,12.5,0,0.0,0.0,1,0.0,0.0,18,8.0,44.44,66,26.0,39.39,0,Sporting
2026-02-01,Sporting CP - Nacional 2:1,Portugal. Primeira Liga,101,Sporting CP,4-2-3-1,2,2.05,12,7.0,58.33,547,452.0,82.63,61.5,135,14.0,47.0,74.0,98,30.0,48.0,20.0,185,93.0,50.27,Liga Portugal,Sporting CP,Nacional,2:1,2.0,1.0,True,2.0,1.0,Win,balanced,15.98,5.06,7.31,8.61,15.02,18.27,2.0,1.0,186,135.0,72.58,86,80.0,93.02,176,160.0,90.91,40,22.0,55.0,59,39.0,66.1,72,48.0,66.67,4,1.0,25.0,23,23.0,100.0,4,1,4,3.0,75.0,57,36.0,63.16,30,13.0,43.33,1,1.0,100.0,30,9,12,0,0,35,7.0,20.0,0,0.0,0.0,11,3.0,27.27,3,0.0,0.0,0,0.0,0.0,27,8.0,29.63,82,39.0,47.56,3,Sporting
2026-01-24,Arouca - Sporting CP 1:2,Portugal. Primeira Liga,100,Sporting CP,4-4-2,2,2.92,15,4.0,26.67,615,546.0,88.78,63.66,93,11.0,22.0,60.0,75,26.0,37.0,12.0,198,97.0,48.99,Liga Portugal,Arouca,Sporting CP,1:2,1.0,2.0,False,2.0,1.0,Win,balanced,17.72,6.34,5.53,7.76,12.91,17.92,1.0,2.0,183,158.0,86.34,95,86.0,90.53,247,230.0,93.12,34,25.0,73.53,80,65.0,81.25,86,77.0,89.53,5,3.0,60.0,15,15.0,100.0,3,1,11,6.0,54.55,52,34.0,65.38,33,18.0,54.55,1,1.0,100.0,31,12,11,4,1,38,8.0,21.05,1,0.0,0.0,7,2.0,28.57,1,1.0,100.0,0,0.0,0.0,20,9.0,45.0,83,28.0,33.73,1,Sporting
2026-01-16,Sporting CP - Casa Pia AC 3:0,Portugal. Primeira Liga,99,Sporting CP,5-3-2,3,2.2,15,4.0,26.67,494,429.0,86.84,63.28,98,10.0,25.0,63.0,80,28.0,34.0,18.0,193,95.0,49.22,Liga Portugal,Sporting CP,Casa Pia AC,3:0,3.0,0.0,True,3.0,0.0,Win,balanced,16.46,5.74,7.29,5.37,18.56,17.44,3.0,0.0,157,124.0,78.98,82,76.0,92.68,176,159.0,90.34,36,19.0,52.78,74,63.0,85.14,74,59.0,79.73,3,0.0,0.0,16,15.0,93.75,3,0,6,1.0,16.67,66,46.0,69.7,36,18.0,50.0,0,0.0,0.0,39,12,12,0,0,32,8.0,25.0,0,0.0,0.0,4,0.0,0.0,3,1.0,33.33,0,0.0,0.0,10,4.0,40.0,70,18.0,25.71,2,Sporting
2026-01-02,Gil Vicente - Sporting CP 1:1,Portugal. Primeira Liga,101,Sporting CP,4-2-3-1,1,1.33,12,4.0,33.33,446,389.0,87.22,62.2,88,18.0,32.0,38.0,78,28.0,40.0,10.0,183,84.0,45.9,Liga Portugal,Gil Vicente,Sporting CP,1:1,1.0,1.0,False,1.0,1.0,Draw,balanced,15.85,4.37,8.3,4.52,18.17,18.33,1.0,1.0,130,97.0,74.62,62,60.0,96.77,180,168.0,93.33,37,21.0,56.76,43,29.0,67.44,58,45.0,77.59,1,1.0,100.0,11,10.0,90.91,5,1,17,9.0,52.94,48,27.0,56.25,47,18.0,38.3,0,0.0,0.0,37,22,13,4,1,18,4.0,22.22,1,1.0,100.0,7,2.0,28.57,2,0.0,0.0,0,0.0,0.0,15,4.0,26.67,69,29.0,42.03,0,Sporting
2025-12-28,Sporting CP - Rio Ave 4:0,Portugal. Primeira Liga,94,Sporting CP,4-4-2,4,5.2,21,12.0,57.14,603,538.0,89.22,61.19,79,8.0,17.0,54.0,69,24.0,29.0,16.0,161,86.0,53.42,Liga Portugal,Sporting CP,Rio Ave,4:0,4.0,0.0,True,4.0,0.0,Win,balanced,17.42,6.7,4.31,9.57,12.85,18.43,4.0,0.0,179,148.0,82.68,75,70.0,93.33,228,217.0,95.18,26,15.0,57.69,90,78.0,86.67,92,83.0,90.22,3,3.0,100.0,13,13.0,100.0,3,0,5,0.0,0.0,79,58.0,73.42,20,6.0,30.0,3,2.0,66.67,19,4,13,1,0,48,17.0,35.42,1,1.0,100.0,8,2.0,25.0,2,0.0,0.0,0,0.0,0.0,15,7.0,46.67,50,16.0,32.0,0,Sporting
